date,heure,rang,nb_gagnants,gain_unitaire_eur
03/01/2026,16h,9L,4,1000
03/01/2026,16h,9,22,500
03/01/2026,16h,8L,137,100
03/01/2026,16h,8,687,50
03/01/2026,16h,7L,1645,14
03/01/2026,16h,7,8443,7
03/01/2026,16h,6L,9134,2
03/01/2026,16h,6,45339,1
03/01/2026,16h,0L,94704,1
03/01/2026,17h,10,0,0
03/01/2026,17h,9L,4,1000
03/01/2026,17h,9,27,500
03/01/2026,17h,8L,196,100
03/01/2026,17h,8,966,50
03/01/2026,17h,7L,2163,14
03/01/2026,17h,7,11095,7
03/01/2026,17h,6L,10653,2
03/01/2026,17h,6,53828,1
03/01/2026,17h,0L,93354,1
03/01/2026,18h,10,0,0
03/01/2026,18h,9L,5,1000
03/01/2026,18h,9,20,500
03/01/2026,18h,8L,148,100
03/01/2026,18h,8,779,50
03/01/2026,18h,7L,1769,14
03/01/2026,18h,7,9356,7
03/01/2026,18h,6L,10256,2
03/01/2026,18h,6,50931,1
03/01/2026,18h,0L,98728,1
03/01/2026,19h,10,0,0
03/01/2026,19h,9L,6,1480
03/01/2026,19h,9,34,729.4
03/01/2026,19h,8L,211,156.8
03/01/2026,19h,8,976,80.7
03/01/2026,19h,7L,2374,23.3
03/01/2026,19h,7,11445,13.4
03/01/2026,19h,6L,12218,4.3
03/01/2026,19h,6,60940,2.1
03/01/2026,19h,0L,129298,1.3
10/01/2026,13h,10,0,0
10/01/2026,13h,9L,3,1000
10/01/2026,13h,9,18,500
10/01/2026,13h,8L,121,100
10/01/2026,13h,8,653,50
10/01/2026,13h,7L,1592,14
10/01/2026,13h,7,8012,7
10/01/2026,13h,6L,8693,2
10/01/2026,13h,6,44160,1
10/01/2026,13h,0L,94840,1
10/01/2026,14h,10,0,0
10/01/2026,14h,9L,3,1000
10/01/2026,14h,9,22,500
10/01/2026,14h,8L,136,100
10/01/2026,14h,8,686,50
10/01/2026,14h,7L,1766,14
10/01/2026,14h,7,8791,7
10/01/2026,14h,6L,8874,2
10/01/2026,14h,6,44176,1
10/01/2026,14h,0L,85464,1
10/01/2026,15h,10,0,0
10/01/2026,15h,9L,3,1000
10/01/2026,15h,9,25,500
10/01/2026,15h,8L,149,100
10/01/2026,15h,8,785,50
10/01/2026,15h,7L,1785,14
10/01/2026,15h,7,8837,7
10/01/2026,15h,6L,9327,2
10/01/2026,15h,6,46107,1
10/01/2026,15h,0L,90064,1
10/01/2026,16h,10,0,0
10/01/2026,16h,9L,5,1000
10/01/2026,16h,9,35,500
10/01/2026,16h,8L,170,100
10/01/2026,16h,8,918,50
10/01/2026,16h,7L,1818,14
10/01/2026,16h,7,9356,7
10/01/2026,16h,6L,9057,2
10/01/2026,16h,6,46042,1
10/01/2026,16h,0L,92460,1
10/01/2026,17h,10,0,0
10/01/2026,17h,9L,4,1000
10/01/2026,17h,9,31,500
10/01/2026,17h,8L,172,100
10/01/2026,17h,8,992,50
10/01/2026,17h,7L,2077,14
10/01/2026,17h,7,10128,7
10/01/2026,17h,6L,10084,2
10/01/2026,17h,6,50193,1
10/01/2026,17h,0L,96855,1
10/01/2026,18h,10,0,0
10/01/2026,18h,9L,4,1000
10/01/2026,18h,9,25,500
10/01/2026,18h,8L,119,100
10/01/2026,18h,8,768,50
10/01/2026,18h,7L,1715,14
10/01/2026,18h,7,8651,7
10/01/2026,18h,6L,9367,2
10/01/2026,18h,6,47620,1
10/01/2026,18h,0L,102641,1
10/01/2026,19h,10,0,0
10/01/2026,19h,9L,4,2680
10/01/2026,19h,9,24,1258.3
10/01/2026,19h,8L,194,244.3
10/01/2026,19h,8,889,128.7
10/01/2026,19h,7L,2355,36
10/01/2026,19h,7,11676,21.7
10/01/2026,19h,6L,13105,7.1
10/01/2026,19h,6,65052,3.6
10/01/2026,19h,0L,140461,1.8
17/01/2026,13h,10,0,0
17/01/2026,13h,9L,4,1000
17/01/2026,13h,9,20,500
17/01/2026,13h,8L,157,100
17/01/2026,13h,8,781,50
17/01/2026,13h,7L,1978,14
17/01/2026,13h,7,9484,7
17/01/2026,13h,6L,9816,2
17/01/2026,13h,6,48526,1
17/01/2026,13h,0L,91296,1
17/01/2026,14h,10,0,0
17/01/2026,14h,9L,4,1000
17/01/2026,14h,9,15,500
17/01/2026,14h,8L,106,100
17/01/2026,14h,8,538,50
17/01/2026,14h,7L,1334,14
17/01/2026,14h,7,6734,7
17/01/2026,14h,6L,7314,2
17/01/2026,14h,6,36896,1
17/01/2026,14h,0L,85656,1
17/01/2026,15h,10,0,0
17/01/2026,15h,9L,3,1000
17/01/2026,15h,9,29,500
17/01/2026,15h,8L,169,100
17/01/2026,15h,8,865,50
17/01/2026,15h,7L,1764,14
17/01/2026,15h,7,9081,7
17/01/2026,15h,6L,9145,2
17/01/2026,15h,6,45288,1
17/01/2026,15h,0L,87635,1
17/01/2026,16h,10,0,0
17/01/2026,16h,9L,7,1000
17/01/2026,16h,9,33,500
17/01/2026,16h,8L,130,100
17/01/2026,16h,8,645,50
17/01/2026,16h,7L,1613,14
17/01/2026,16h,7,7910,7
17/01/2026,16h,6L,8656,2
17/01/2026,16h,6,42981,1
17/01/2026,16h,0L,92197,1
17/01/2026,17h,10,0,0
17/01/2026,17h,9L,8,1000
17/01/2026,17h,9,34,500
17/01/2026,17h,8L,169,100
17/01/2026,17h,8,929,50
17/01/2026,17h,7L,1832,14
17/01/2026,17h,7,9410,7
17/01/2026,17h,6L,9331,2
17/01/2026,17h,6,46970,1
17/01/2026,17h,0L,95912,1
17/01/2026,18h,10,2,300000
17/01/2026,18h,9L,8,1000
17/01/2026,18h,9,68,500
17/01/2026,18h,8L,224,100
17/01/2026,18h,8,1252,50
17/01/2026,18h,7L,2167,14
17/01/2026,18h,7,10905,7
17/01/2026,18h,6L,9582,2
17/01/2026,18h,6,48941,1
17/01/2026,18h,0L,99855,1
17/01/2026,19h,10,0,0
17/01/2026,19h,9L,5,1192
17/01/2026,19h,9,20,630
17/01/2026,19h,8L,161,124.8
17/01/2026,19h,8,815,62.2
17/01/2026,19h,7L,1859,17.9
